Date,Revenue,COGS,total_sessions,total_page_views,total_visitors,avg_bounce_rate,active_promos_count,avg_promo_discount,total_orders,total_discount_amount,year,month,day,dayofweek,is_weekend,Revenue_lag_1,total_orders_lag_1,Revenue_lag_7,total_orders_lag_7,Revenue_lag_14,total_orders_lag_14,Revenue_lag_30,total_orders_lag_30
2012-07-22,3117550.57,2531656.38,0.0,0.0,0.0,0.004487291894852137,0.0,0.0,140,0.0,2012,7,22,6,1,3442157.02,171.0,3948841.28,149.0,2360851.9,88.0,,
2012-07-23,4730517.69,3685006.66,0.0,0.0,0.0,0.004487291894852137,0.0,0.0,206,0.0,2012,7,23,0,0,3117550.57,140.0,3503801.49,140.0,3548386.46,137.0,,
2012-07-24,4096496.12,3248450.65,0.0,0.0,0.0,0.004487291894852137,0.0,0.0,186,0.0,2012,7,24,1,0,4730517.69,206.0,4476729.49,185.0,5234938.62,183.0,,
2012-07-25,5246688.08,4140019.37,0.0,0.0,0.0,0.004487291894852137,0.0,0.0,224,0.0,2012,7,25,2,0,4096496.12,186.0,5184141.46,225.0,5582884.78,221.0,,
2012-07-26,5851965.06,4579171.74,0.0,0.0,0.0,0.004487291894852137,0.0,0.0,273,0.0,2012,7,26,3,0,5246688.08,224.0,6421487.11,263.0,5734632.02,246.0,,
2012-07-27,5156699.45,3989402.2,0.0,0.0,0.0,0.004487291894852137,0.0,0.0,212,0.0,2012,7,27,4,0,5851965.06,273.0,5171470.46,231.0,5309511.71,201.0,,
2012-07-28,4326956.84,3403662.59,0.0,0.0,0.0,0.004487291894852137,0.0,0.0,176,0.0,2012,7,28,5,1,5156699.45,212.0,3442157.02,171.0,3820831.41,157.0,,
2012-07-29,4804199.65,3819645.91,0.0,0.0,0.0,0.004487291894852137,0.0,0.0,206,0.0,2012,7,29,6,1,4326956.84,176.0,3117550.57,140.0,3948841.28,149.0,,
2012-07-30,6586130.95,5195109.56,0.0,0.0,0.0,0.004487291894852137,0.0,0.0,268,0.0,2012,7,30,0,0,4804199.65,206.0,4730517.69,206.0,3503801.49,140.0,,
2012-07-31,9151622.14,7142891.18,0.0,0.0,0.0,0.004487291894852137,0.0,0.0,381,0.0,2012,7,31,1,0,6586130.95,268.0,4096496.12,186.0,4476729.49,185.0,,
2012-08-01,9148357.3,7308514.33,0.0,0.0,0.0,0.004487291894852137,0.0,0.0,360,0.0,2012,8,1,2,0,9151622.14,381.0,5246688.08,224.0,5184141.46,225.0,,
2012-08-02,9692427.0,7537501.15,0.0,0.0,0.0,0.004487291894852137,0.0,0.0,413,0.0,2012,8,2,3,0,9148357.3,360.0,5851965.06,273.0,6421487.11,263.0,,
2012-08-03,9297269.95,7118808.46,0.0,0.0,0.0,0.004487291894852137,0.0,0.0,353,0.0,2012,8,3,4,0,9692427.0,413.0,5156699.45,212.0,5171470.46,231.0,5123547.94,162.0
2012-08-04,6384195.03,5087528.11,0.0,0.0,0.0,0.004487291894852137,0.0,0.0,245,0.0,2012,8,4,5,1,9297269.95,353.0,4326956.84,176.0,3442157.02,171.0,2751773.45,97.0
2012-08-05,2359224.19,1863413.11,0.0,0.0,0.0,0.004487291894852137,0.0,0.0,76,0.0,2012,8,5,6,1,6384195.03,245.0,4804199.65,206.0,3117550.57,140.0,3054029.42,93.0
2012-08-06,3630003.7,2922718.71,0.0,0.0,0.0,0.004487291894852137,0.0,0.0,114,0.0,2012,8,6,0,0,2359224.19,76.0,6586130.95,268.0,4730517.69,206.0,2667930.94,73.0
2012-08-07,2240253.44,1781265.84,0.0,0.0,0.0,0.004487291894852137,0.0,0.0,93,0.0,2012,8,7,1,0,3630003.7,114.0,9151622.14,381.0,4096496.12,186.0,2360851.9,88.0
2012-08-08,2617553.36,1997006.42,0.0,0.0,0.0,0.004487291894852137,0.0,0.0,129,0.0,2012,8,8,2,0,2240253.44,93.0,9148357.3,360.0,5246688.08,224.0,3548386.46,137.0
2012-08-09,4478691.52,3621672.71,0.0,0.0,0.0,0.004487291894852137,0.0,0.0,156,0.0,2012,8,9,3,0,2617553.36,129.0,9692427.0,413.0,5851965.06,273.0,5234938.62,183.0
2012-08-10,3412496.65,2699279.56,0.0,0.0,0.0,0.004487291894852137,0.0,0.0,158,0.0,2012,8,10,4,0,4478691.52,156.0,9297269.95,353.0,5156699.45,212.0,5582884.78,221.0
2012-08-11,2732604.35,2168668.05,0.0,0.0,0.0,0.004487291894852137,0.0,0.0,110,0.0,2012,8,11,5,1,3412496.65,158.0,6384195.03,245.0,4326956.84,176.0,5734632.02,246.0
2012-08-12,3388181.83,2654275.25,0.0,0.0,0.0,0.004487291894852137,0.0,0.0,138,0.0,2012,8,12,6,1,2732604.35,110.0,2359224.19,76.0,4804199.65,206.0,5309511.71,201.0
2012-08-13,3928170.01,3189564.96,0.0,0.0,0.0,0.004487291894852137,0.0,0.0,153,0.0,2012,8,13,0,0,3388181.83,138.0,3630003.7,114.0,6586130.95,268.0,3820831.41,157.0
2012-08-14,4033912.16,3258198.58,0.0,0.0,0.0,0.004487291894852137,0.0,0.0,151,0.0,2012,8,14,1,0,3928170.01,153.0,2240253.44,93.0,9151622.14,381.0,3948841.28,149.0
2012-08-15,3780293.26,2886923.59,0.0,0.0,0.0,0.004487291894852137,0.0,0.0,162,0.0,2012,8,15,2,0,4033912.16,151.0,2617553.36,129.0,9148357.3,360.0,3503801.49,140.0
2012-08-16,5249978.18,4222455.97,0.0,0.0,0.0,0.004487291894852137,0.0,0.0,212,0.0,2012,8,16,3,0,3780293.26,162.0,4478691.52,156.0,9692427.0,413.0,4476729.49,185.0
2012-08-17,4089284.05,3238908.92,0.0,0.0,0.0,0.004487291894852137,0.0,0.0,158,0.0,2012,8,17,4,0,5249978.18,212.0,3412496.65,158.0,9297269.95,353.0,5184141.46,225.0
2012-08-18,3450015.71,2808916.94,0.0,0.0,0.0,0.004487291894852137,0.0,0.0,135,0.0,2012,8,18,5,1,4089284.05,158.0,2732604.35,110.0,6384195.03,245.0,6421487.11,263.0
2012-08-19,3904300.93,3006801.4,0.0,0.0,0.0,0.004487291894852137,0.0,0.0,158,0.0,2012,8,19,6,1,3450015.71,135.0,3388181.83,138.0,2359224.19,76.0,5171470.46,231.0
2012-08-20,3541027.32,2827038.81,0.0,0.0,0.0,0.004487291894852137,0.0,0.0,158,0.0,2012,8,20,0,0,3904300.93,158.0,3928170.01,153.0,3630003.7,114.0,3442157.02,171.0
2012-08-21,4147483.23,3364364.64,0.0,0.0,0.0,0.004487291894852137,0.0,0.0,172,0.0,2012,8,21,1,0,3541027.32,158.0,4033912.16,151.0,2240253.44,93.0,3117550.57,140.0
2012-08-22,4597682.81,3562468.33,0.0,0.0,0.0,0.004487291894852137,0.0,0.0,185,0.0,2012,8,22,2,0,4147483.23,172.0,3780293.26,162.0,2617553.36,129.0,4730517.69,206.0
2012-08-23,5478869.55,4195738.04,0.0,0.0,0.0,0.004487291894852137,0.0,0.0,231,0.0,2012,8,23,3,0,4597682.81,185.0,5249978.18,212.0,4478691.52,156.0,4096496.12,186.0
2012-08-24,4637850.57,3632210.67,0.0,0.0,0.0,0.004487291894852137,0.0,0.0,196,0.0,2012,8,24,4,0,5478869.55,231.0,4089284.05,158.0,3412496.65,158.0,5246688.08,224.0
2012-08-25,3589566.28,2784342.75,0.0,0.0,0.0,0.004487291894852137,0.0,0.0,141,0.0,2012,8,25,5,1,4637850.57,196.0,3450015.71,135.0,2732604.35,110.0,5851965.06,273.0
2012-08-26,4280204.53,3476942.48,0.0,0.0,0.0,0.004487291894852137,0.0,0.0,164,0.0,2012,8,26,6,1,3589566.28,141.0,3904300.93,158.0,3388181.83,138.0,5156699.45,212.0
2012-08-27,3038895.84,2365260.68,0.0,0.0,0.0,0.004487291894852137,0.0,0.0,137,0.0,2012,8,27,0,0,4280204.53,164.0,3541027.32,158.0,3928170.01,153.0,4326956.84,176.0
2012-08-28,9508676.62,7439851.59,0.0,0.0,0.0,0.004487291894852137,0.0,0.0,391,0.0,2012,8,28,1,0,3038895.84,137.0,4147483.23,172.0,4033912.16,151.0,4804199.65,206.0
2012-08-29,9260558.32,7336294.54,0.0,0.0,0.0,0.004487291894852137,0.0,0.0,382,0.0,2012,8,29,2,0,9508676.62,391.0,4597682.81,185.0,3780293.26,162.0,6586130.95,268.0
2012-08-30,10086534.1,7950911.72,0.0,0.0,0.0,0.004487291894852137,0.0,0.0,403,0.0,2012,8,30,3,0,9260558.32,382.0,5478869.55,231.0,5249978.18,212.0,9151622.14,381.0
2012-08-31,9104678.52,7277460.12,0.0,0.0,0.0,0.004487291894852137,0.0,0.0,393,0.0,2012,8,31,4,0,10086534.1,403.0,4637850.57,196.0,4089284.05,158.0,9148357.3,360.0
2012-09-01,8560208.92,6738335.17,0.0,0.0,0.0,0.004487291894852137,0.0,0.0,341,0.0,2012,9,1,5,1,9104678.52,393.0,3589566.28,141.0,3450015.71,135.0,9692427.0,413.0
2012-09-02,2587099.44,1946097.28,0.0,0.0,0.0,0.004487291894852137,0.0,0.0,106,0.0,2012,9,2,6,1,8560208.92,341.0,4280204.53,164.0,3904300.93,158.0,9297269.95,353.0
2012-09-03,3865505.01,3063431.08,0.0,0.0,0.0,0.004487291894852137,0.0,0.0,147,0.0,2012,9,3,0,0,2587099.44,106.0,3038895.84,137.0,3541027.32,158.0,6384195.03,245.0
2012-09-04,3645749.44,2876968.79,0.0,0.0,0.0,0.004487291894852137,0.0,0.0,147,0.0,2012,9,4,1,0,3865505.01,147.0,9508676.62,391.0,4147483.23,172.0,2359224.19,76.0
2012-09-05,2398185.51,1966376.48,0.0,0.0,0.0,0.004487291894852137,0.0,0.0,87,0.0,2012,9,5,2,0,3645749.44,147.0,9260558.32,382.0,4597682.81,185.0,3630003.7,114.0
2012-09-06,2858227.37,2147909.96,0.0,0.0,0.0,0.004487291894852137,0.0,0.0,119,0.0,2012,9,6,3,0,2398185.51,87.0,10086534.1,403.0,5478869.55,231.0,2240253.44,93.0
2012-09-07,3282753.8,2580035.06,0.0,0.0,0.0,0.004487291894852137,0.0,0.0,139,0.0,2012,9,7,4,0,2858227.37,119.0,9104678.52,393.0,4637850.57,196.0,2617553.36,129.0
2012-09-08,3666204.89,2804001.32,0.0,0.0,0.0,0.004487291894852137,0.0,0.0,130,0.0,2012,9,8,5,1,3282753.8,139.0,8560208.92,341.0,3589566.28,141.0,4478691.52,156.0
2012-09-09,4458501.42,3589475.8,0.0,0.0,0.0,0.004487291894852137,0.0,0.0,170,0.0,2012,9,9,6,1,3666204.89,130.0,2587099.44,106.0,4280204.53,164.0,3412496.65,158.0
2012-09-10,4548962.79,3517300.88,0.0,0.0,0.0,0.004487291894852137,0.0,0.0,186,0.0,2012,9,10,0,0,4458501.42,170.0,3865505.01,147.0,3038895.84,137.0,2732604.35,110.0
2012-09-11,4021565.55,3264364.41,0.0,0.0,0.0,0.004487291894852137,0.0,0.0,129,0.0,2012,9,11,1,0,4548962.79,186.0,3645749.44,147.0,9508676.62,391.0,3388181.83,138.0
2012-09-12,3335978.29,2673690.65,0.0,0.0,0.0,0.004487291894852137,0.0,0.0,108,0.0,2012,9,12,2,0,4021565.55,129.0,2398185.51,87.0,9260558.32,382.0,3928170.01,153.0
2012-09-13,2609609.29,2103806.97,0.0,0.0,0.0,0.004487291894852137,0.0,0.0,116,0.0,2012,9,13,3,0,3335978.29,108.0,2858227.37,119.0,10086534.1,403.0,4033912.16,151.0
2012-09-14,3729228.43,2835412.27,0.0,0.0,0.0,0.004487291894852137,0.0,0.0,136,0.0,2012,9,14,4,0,2609609.29,116.0,3282753.8,139.0,9104678.52,393.0,3780293.26,162.0
2012-09-15,3605125.64,2849539.9,0.0,0.0,0.0,0.004487291894852137,0.0,0.0,131,0.0,2012,9,15,5,1,3729228.43,136.0,3666204.89,130.0,8560208.92,341.0,5249978.18,212.0
2012-09-16,4452012.44,3561492.95,0.0,0.0,0.0,0.004487291894852137,0.0,0.0,174,0.0,2012,9,16,6,1,3605125.64,131.0,4458501.42,170.0,2587099.44,106.0,4089284.05,158.0
2012-09-17,4811788.67,3932069.23,0.0,0.0,0.0,0.004487291894852137,0.0,0.0,206,0.0,2012,9,17,0,0,4452012.44,174.0,4548962.79,186.0,3865505.01,147.0,3450015.71,135.0
2012-09-18,5078878.07,4123200.89,0.0,0.0,0.0,0.004487291894852137,0.0,0.0,181,0.0,2012,9,18,1,0,4811788.67,206.0,4021565.55,129.0,3645749.44,147.0,3904300.93,158.0
2012-09-19,3680241.62,3014323.76,0.0,0.0,0.0,0.004487291894852137,0.0,0.0,147,0.0,2012,9,19,2,0,5078878.07,181.0,3335978.29,108.0,2398185.51,87.0,3541027.32,158.0
2012-09-20,3763143.75,3080273.62,0.0,0.0,0.0,0.004487291894852137,0.0,0.0,159,0.0,2012,9,20,3,0,3680241.62,147.0,2609609.29,116.0,2858227.37,119.0,4147483.23,172.0
2012-09-21,3943768.14,2978697.93,0.0,0.0,0.0,0.004487291894852137,0.0,0.0,148,0.0,2012,9,21,4,0,3763143.75,159.0,3729228.43,136.0,3282753.8,139.0,4597682.81,185.0
2012-09-22,3872374.03,3011266.74,0.0,0.0,0.0,0.004487291894852137,0.0,0.0,161,0.0,2012,9,22,5,1,3943768.14,148.0,3605125.64,131.0,3666204.89,130.0,5478869.55,231.0
2012-09-23,4118299.54,3294951.2,0.0,0.0,0.0,0.004487291894852137,0.0,0.0,178,0.0,2012,9,23,6,1,3872374.03,161.0,4452012.44,174.0,4458501.42,170.0,4637850.57,196.0
2012-09-24,5733263.53,4585762.62,0.0,0.0,0.0,0.004487291894852137,0.0,0.0,244,0.0,2012,9,24,0,0,4118299.54,178.0,4811788.67,206.0,4548962.79,186.0,3589566.28,141.0
2012-09-25,5639897.53,4502395.62,0.0,0.0,0.0,0.004487291894852137,0.0,0.0,244,0.0,2012,9,25,1,0,5733263.53,244.0,5078878.07,181.0,4021565.55,129.0,4280204.53,164.0
2012-09-26,4592282.59,3670417.04,0.0,0.0,0.0,0.004487291894852137,0.0,0.0,200,0.0,2012,9,26,2,0,5639897.53,244.0,3680241.62,147.0,3335978.29,108.0,3038895.84,137.0
2012-09-27,7556892.66,6017108.13,0.0,0.0,0.0,0.004487291894852137,0.0,0.0,349,0.0,2012,9,27,3,0,4592282.59,200.0,3763143.75,159.0,2609609.29,116.0,9508676.62,391.0
2012-09-28,4892631.14,3884590.92,0.0,0.0,0.0,0.004487291894852137,0.0,0.0,216,0.0,2012,9,28,4,0,7556892.66,349.0,3943768.14,148.0,3729228.43,136.0,9260558.32,382.0
2012-09-29,5304374.46,4170120.63,0.0,0.0,0.0,0.004487291894852137,0.0,0.0,224,0.0,2012,9,29,5,1,4892631.14,216.0,3872374.03,161.0,3605125.64,131.0,10086534.1,403.0
2012-09-30,4694379.86,3812737.52,0.0,0.0,0.0,0.004487291894852137,0.0,0.0,196,0.0,2012,9,30,6,1,5304374.46,224.0,4118299.54,178.0,4452012.44,174.0,9104678.52,393.0
2012-10-01,4752532.1,3764447.04,0.0,0.0,0.0,0.004487291894852137,0.0,0.0,205,0.0,2012,10,1,0,0,4694379.86,196.0,5733263.53,244.0,4811788.67,206.0,8560208.92,341.0
2012-10-02,3233135.78,2566510.62,0.0,0.0,0.0,0.004487291894852137,0.0,0.0,104,0.0,2012,10,2,1,0,4752532.1,205.0,5639897.53,244.0,5078878.07,181.0,2587099.44,106.0
2012-10-03,3515132.03,2762823.63,0.0,0.0,0.0,0.004487291894852137,0.0,0.0,108,0.0,2012,10,3,2,0,3233135.78,104.0,4592282.59,200.0,3680241.62,147.0,3865505.01,147.0
2012-10-04,2398137.74,1902425.74,0.0,0.0,0.0,0.004487291894852137,0.0,0.0,77,0.0,2012,10,4,3,0,3515132.03,108.0,7556892.66,349.0,3763143.75,159.0,3645749.44,147.0
2012-10-05,2665953.06,2064899.19,0.0,0.0,0.0,0.004487291894852137,0.0,0.0,101,0.0,2012,10,5,4,0,2398137.74,77.0,4892631.14,216.0,3943768.14,148.0,2398185.51,87.0
2012-10-06,2205266.94,1755004.4,0.0,0.0,0.0,0.004487291894852137,0.0,0.0,80,0.0,2012,10,6,5,1,2665953.06,101.0,5304374.46,224.0,3872374.03,161.0,2858227.37,119.0
2012-10-07,3389598.07,2725469.75,0.0,0.0,0.0,0.004487291894852137,0.0,0.0,110,0.0,2012,10,7,6,1,2205266.94,80.0,4694379.86,196.0,4118299.54,178.0,3282753.8,139.0
2012-10-08,4037039.45,3285493.04,0.0,0.0,0.0,0.004487291894852137,0.0,0.0,142,0.0,2012,10,8,0,0,3389598.07,110.0,4752532.1,205.0,5733263.53,244.0,3666204.89,130.0
2012-10-09,4298675.76,3472700.63,0.0,0.0,0.0,0.004487291894852137,0.0,0.0,167,0.0,2012,10,9,1,0,4037039.45,142.0,3233135.78,104.0,5639897.53,244.0,4458501.42,170.0
2012-10-10,3548716.67,2839202.59,0.0,0.0,0.0,0.004487291894852137,0.0,0.0,131,0.0,2012,10,10,2,0,4298675.76,167.0,3515132.03,108.0,4592282.59,200.0,4548962.79,186.0
2012-10-11,3421490.39,2765374.16,0.0,0.0,0.0,0.004487291894852137,0.0,0.0,109,0.0,2012,10,11,3,0,3548716.67,131.0,2398137.74,77.0,7556892.66,349.0,4021565.55,129.0
2012-10-12,2380119.87,1830898.15,0.0,0.0,0.0,0.004487291894852137,0.0,0.0,94,0.0,2012,10,12,4,0,3421490.39,109.0,2665953.06,101.0,4892631.14,216.0,3335978.29,108.0
2012-10-13,2798011.44,2256579.15,0.0,0.0,0.0,0.004487291894852137,0.0,0.0,125,0.0,2012,10,13,5,1,2380119.87,94.0,2205266.94,80.0,5304374.46,224.0,2609609.29,116.0
2012-10-14,3055629.78,2516987.32,0.0,0.0,0.0,0.004487291894852137,0.0,0.0,116,0.0,2012,10,14,6,1,2798011.44,125.0,3389598.07,110.0,4694379.86,196.0,3729228.43,136.0
2012-10-15,3234517.3,2632811.8,0.0,0.0,0.0,0.004487291894852137,0.0,0.0,140,0.0,2012,10,15,0,0,3055629.78,116.0,4037039.45,142.0,4752532.1,205.0,3605125.64,131.0
2012-10-16,3549298.21,2763325.25,0.0,0.0,0.0,0.004487291894852137,0.0,0.0,152,0.0,2012,10,16,1,0,3234517.3,140.0,4298675.76,167.0,3233135.78,104.0,4452012.44,174.0
2012-10-17,3818048.0,3108682.75,0.0,0.0,0.0,0.004487291894852137,0.0,0.0,134,0.0,2012,10,17,2,0,3549298.21,152.0,3548716.67,131.0,3515132.03,108.0,4811788.67,206.0
2012-10-18,2909728.89,2301277.14,0.0,0.0,0.0,0.004487291894852137,0.0,0.0,109,0.0,2012,10,18,3,0,3818048.0,134.0,3421490.39,109.0,2398137.74,77.0,5078878.07,181.0
2012-10-19,2877379.81,2352068.71,0.0,0.0,0.0,0.004487291894852137,0.0,0.0,99,0.0,2012,10,19,4,0,2909728.89,109.0,2380119.87,94.0,2665953.06,101.0,3680241.62,147.0
2012-10-20,3242557.3,2647331.71,0.0,0.0,0.0,0.004487291894852137,0.0,0.0,106,0.0,2012,10,20,5,1,2877379.81,99.0,2798011.44,125.0,2205266.94,80.0,3763143.75,159.0
2012-10-21,2395609.91,1920246.47,0.0,0.0,0.0,0.004487291894852137,0.0,0.0,114,0.0,2012,10,21,6,1,3242557.3,106.0,3055629.78,116.0,3389598.07,110.0,3943768.14,148.0
2012-10-22,3596158.34,2873316.18,0.0,0.0,0.0,0.004487291894852137,0.0,0.0,142,0.0,2012,10,22,0,0,2395609.91,114.0,3234517.3,140.0,4037039.45,142.0,3872374.03,161.0
2012-10-23,3999141.88,3151858.27,0.0,0.0,0.0,0.004487291894852137,0.0,0.0,170,0.0,2012,10,23,1,0,3596158.34,142.0,3549298.21,152.0,4298675.76,167.0,4118299.54,178.0
2012-10-24,3829179.99,3037851.31,0.0,0.0,0.0,0.004487291894852137,0.0,0.0,153,0.0,2012,10,24,2,0,3999141.88,170.0,3818048.0,134.0,3548716.67,131.0,5733263.53,244.0
2012-10-25,3104460.52,2528526.7,0.0,0.0,0.0,0.004487291894852137,0.0,0.0,125,0.0,2012,10,25,3,0,3829179.99,153.0,2909728.89,109.0,3421490.39,109.0,5639897.53,244.0
2012-10-26,2138927.17,1671777.12,0.0,0.0,0.0,0.004487291894852137,0.0,0.0,91,0.0,2012,10,26,4,0,3104460.52,125.0,2877379.81,99.0,2380119.87,94.0,4592282.59,200.0
2012-10-27,2816872.34,2296869.06,0.0,0.0,0.0,0.004487291894852137,0.0,0.0,122,0.0,2012,10,27,5,1,2138927.17,91.0,3242557.3,106.0,2798011.44,125.0,7556892.66,349.0
2012-10-28,6259883.83,5044146.85,0.0,0.0,0.0,0.004487291894852137,0.0,0.0,259,0.0,2012,10,28,6,1,2816872.34,122.0,2395609.91,114.0,3055629.78,116.0,4892631.14,216.0
2012-10-29,5424539.1,4294440.71,0.0,0.0,0.0,0.004487291894852137,0.0,0.0,236,0.0,2012,10,29,0,0,6259883.83,259.0,3596158.34,142.0,3234517.3,140.0,5304374.46,224.0
2012-10-30,6347274.89,5049887.71,0.0,0.0,0.0,0.004487291894852137,0.0,0.0,250,0.0,2012,10,30,1,0,5424539.1,236.0,3999141.88,170.0,3549298.21,152.0,4694379.86,196.0
2012-10-31,4942677.89,3871571.88,0.0,0.0,0.0,0.004487291894852137,0.0,0.0,214,0.0,2012,10,31,2,0,6347274.89,250.0,3829179.99,153.0,3818048.0,134.0,4752532.1,205.0
2012-11-01,5536748.35,4440955.34,0.0,0.0,0.0,0.004487291894852137,0.0,0.0,201,0.0,2012,11,1,3,0,4942677.89,214.0,3104460.52,125.0,2909728.89,109.0,3233135.78,104.0
2012-11-02,1936831.08,1547786.14,0.0,0.0,0.0,0.004487291894852137,0.0,0.0,67,0.0,2012,11,2,4,0,5536748.35,201.0,2138927.17,91.0,2877379.81,99.0,3515132.03,108.0
2012-11-03,2911848.61,2151815.97,0.0,0.0,0.0,0.004487291894852137,0.0,0.0,84,0.0,2012,11,3,5,1,1936831.08,67.0,2816872.34,122.0,3242557.3,106.0,2398137.74,77.0
2012-11-04,2658832.75,2131401.7,0.0,0.0,0.0,0.004487291894852137,0.0,0.0,85,0.0,2012,11,4,6,1,2911848.61,84.0,6259883.83,259.0,2395609.91,114.0,2665953.06,101.0
2012-11-05,3332448.46,2732792.99,0.0,0.0,0.0,0.004487291894852137,0.0,0.0,129,0.0,2012,11,5,0,0,2658832.75,85.0,5424539.1,236.0,3596158.34,142.0,2205266.94,80.0
2012-11-06,3439495.01,2809375.18,0.0,0.0,0.0,0.004487291894852137,0.0,0.0,109,0.0,2012,11,6,1,0,3332448.46,129.0,6347274.89,250.0,3999141.88,170.0,3389598.07,110.0
2012-11-07,1969815.91,1538155.1,0.0,0.0,0.0,0.004487291894852137,0.0,0.0,69,0.0,2012,11,7,2,0,3439495.01,109.0,4942677.89,214.0,3829179.99,153.0,4037039.45,142.0
2012-11-08,2197716.17,1723412.77,0.0,0.0,0.0,0.004487291894852137,0.0,0.0,88,0.0,2012,11,8,3,0,1969815.91,69.0,5536748.35,201.0,3104460.52,125.0,4298675.76,167.0
2012-11-09,2920310.06,2308918.6,0.0,0.0,0.0,0.004487291894852137,0.0,0.0,107,0.0,2012,11,9,4,0,2197716.17,88.0,1936831.08,67.0,2138927.17,91.0,3548716.67,131.0
2012-11-10,3124993.27,2475389.25,0.0,0.0,0.0,0.004487291894852137,0.0,0.0,122,0.0,2012,11,10,5,1,2920310.06,107.0,2911848.61,84.0,2816872.34,122.0,3421490.39,109.0
2012-11-11,3484874.3,2713727.18,0.0,0.0,0.0,0.004487291894852137,0.0,0.0,141,0.0,2012,11,11,6,1,3124993.27,122.0,2658832.75,85.0,6259883.83,259.0,2380119.87,94.0
2012-11-12,3806978.06,3077336.49,0.0,0.0,0.0,0.004487291894852137,0.0,0.0,172,0.0,2012,11,12,0,0,3484874.3,141.0,3332448.46,129.0,5424539.1,236.0,2798011.44,125.0
2012-11-13,3848498.06,3048755.92,0.0,0.0,0.0,0.004487291894852137,0.0,0.0,149,0.0,2012,11,13,1,0,3806978.06,172.0,3439495.01,109.0,6347274.89,250.0,3055629.78,116.0
2012-11-14,3213518.64,2550177.92,0.0,0.0,0.0,0.004487291894852137,0.0,0.0,133,0.0,2012,11,14,2,0,3848498.06,149.0,1969815.91,69.0,4942677.89,214.0,3234517.3,140.0
